Model,Event_Ledger_Total,Annual_Total,Monthly_Total,Summary_Total,Maximum_Difference,Status
A1V12 Tactical Sleeve,133483.2845508231,133483.28455082313,133483.2845508231,133483.2845508231,2.9103830456733704e-11,PASS
MWM Aggressive,46176.3992708171,46176.3992708171,46176.3992708171,46176.3992708171,0.0,PASS
MWM Balanced,16781.91287242662,16781.91287242662,16781.91287242662,16781.91287242662,0.0,PASS
MWM Conservative,9212.099673309836,9212.099673309836,9212.099673309836,9212.099673309836,0.0,PASS
MWM Growth,35253.657380358505,35253.657380358505,35253.657380358505,35253.657380358505,0.0,PASS
MWM Growth Plus,40443.219848130466,40443.219848130466,40443.219848130466,40443.219848130466,0.0,PASS
MWM Moderate,31668.57248588825,31668.57248588825,31668.57248588825,31668.57248588825,0.0,PASS
MWM Ultra Aggressive,59019.89648811539,59019.89648811539,59019.89648811538,59019.89648811539,7.275957614183426e-12,PASS
Tactical Aggressive,70122.49728390087,70122.49728390087,70122.49728390087,70122.49728390087,0.0,PASS
Tactical Balanced,20494.030326711454,20494.030326711458,20494.030326711454,20494.030326711454,3.637978807091713e-12,PASS
Tactical Conservative,10036.924930004901,10036.924930004901,10036.9249300049,10036.924930004901,1.8189894035458565e-12,PASS
Tactical Growth,50476.05892040998,50476.05892040998,50476.058920409974,50476.05892040998,7.275957614183426e-12,PASS
Tactical Growth Plus,59647.63515700995,59647.63515700995,59647.63515700994,59647.63515700995,7.275957614183426e-12,PASS
Tactical Moderate,44035.60585991079,44035.60585991079,44035.605859910786,44035.60585991079,7.275957614183426e-12,PASS
Tactical Ultra Aggressive,93432.57987885605,93432.57987885604,93432.57987885602,93432.57987885605,2.9103830456733704e-11,PASS
VOO Benchmark,63823.781811135,63823.781811135006,63823.781811135,63823.781811135,7.275957614183426e-12,PASS
